chlorides,density,pH,sulphates,acid,residual sugar,alcohol,bound sulfur dioxide,quality,type
0.074,1.0008,3.25,0.57,14.08,2.2,9,37,3,red
0.2,0.9994,3.16,0.63,12.6,2.1,8.4,11,3,red
0.097,0.9966,3.63,0.54,9.77,4.25,10.7,9,3,red
0.145,0.99832,3.38,0.86,12.12,1.5,9.9,14,3,red
0.084,0.99892,3.48,0.49,10.38,3.4,11,5,3,red
0.137,0.99476,3.5,0.4,10.76,2.1,10.9,4,3,red
0.267,0.99471,3.32,0.51,8.43,1.2,9.8,13,3,red
0.061,0.99705,3.31,0.55,9.36,2.1,9.7,29,3,red
0.082,0.99808,3.4,0.52,8.95,5.7,10.2,11,3,red
0.078,0.996,3.55,0.63,8.26,1.8,9.95,6,3,red
0.074,0.998,3.02,0.5,9.44,16.2,9.8,156,3,white
0.029,0.9913,3.53,0.43,7.16,3.5,11.7,104,3,white
0.066,0.9968,3.23,0.38,11.04,1.6,8.5,148,3,white
0.038,0.9937,3.24,0.4,8.38,11,11.5,50,3,white
0.022,0.9915,3.31,0.37,8.48,4.6,12.6,14,3,white
0.037,0.9939,2.89,0.28,11.58,1.4,9.6,28,3,white
0.244,0.9983,2.87,0.74,10.1,10.6,9.1,194,3,white
0.033,0.9911,3.2,0.32,9.8,1.15,12.4,78,3,white
0.057,1.0001,3.04,0.63,10.4,15.55,11,331,3,white
0.053,0.9958,3.14,0.5,8.62,4.6,9.1,126,3,white
0.041,0.9949,3.55,0.63,7.72,1.55,9.4,97.5,3,white
0.047,0.9924,3.24,0.37,8.52,2,11,161,3,white
0.034,0.9997,2.93,0.55,13.02,11.1,9.7,108,3,white
0.034,0.99256,3.05,0.54,9.3,1.2,10.4,52,3,white
0.041,0.995,3.14,0.44,7.18,9.5,10.1,163,3,white
0.041,0.99688,3.42,0.44,5.09,5.1,8,93,3,white
0.037,0.99395,2.9,0.38,10.46,8.5,11,84,3,white
0.051,0.9916,3.37,0.43,7.36,0.7,11,87,3,white
0.06,0.99705,3.24,0.52,8,15.1,10.5,120,3,white
0.047,0.99314,3.44,0.64,7.12,2.9,10.5,151,3,white
0.086,0.9974,3.38,0.5,8.74,4.4,9,23,4,red
0.172,0.994,3.5,0.48,8.14,1.5,9.8,12,4,red
0.088,0.9976,3.26,0.51,10.62,2.8,9.3,29,4,red
0.054,0.9934,3.9,0.56,5.94,2.1,13.1,57,4,red
0.084,0.9976,3.31,0.53,10.17,2.1,9.2,32,4,red
0.08,0.9972,3.16,1.12,9.95,1.5,9.1,92,4,red
0.045,0.9938,3.75,0.48,7.12,1.4,10.5,44,4,red
0.61,0.9996,2.74,2,12.24,3.4,9.4,37,4,red
0.072,0.9965,3.17,1.08,9,1.3,9.2,11,4,red
0.072,0.9956,3.37,0.48,8.46,1.6,9,25,4,red
0.058,0.9972,3.36,0.33,9.73,1.8,9.1,4,4,red
0.061,0.9948,3.51,0.43,9.2,2.1,11.4,19,4,red
0.089,0.99745,3.31,0.57,10.39,2,10.4,40,4,red
0.087,0.99565,3.35,0.6,9.03,2,9.4,55,4,red
0.096,1.00025,3.6,0.72,9.84,3.3,9.8,35,4,red
0.07,0.9981,3.05,0.57,14.4,4.5,9.6,23,4,red
0.07,0.9991,3.3,0.56,12.66,2.1,9.6,33,4,red
0.103,0.9978,3.34,0.52,11.38,2.3,10,8,4,red
0.088,0.9962,3.26,0.47,10.57,2.1,10,16,4,red
0.105,1.001,3.43,0.64,12.41,3.4,11.3,75,4,red
0.07,0.9967,3.32,0.58,10.01,2.2,11,9,4,red
0.096,0.997,3.41,0.57,8.82,4.4,11,8,4,red
0.073,0.9972,3.32,0.7,9.22,2.6,9.6,62,4,red
0.078,0.998,3.29,0.54,10.71,1.6,9.7,10,4,red
0.086,0.9958,3.54,0.6,9.93,3.1,11.2,7,4,red
0.102,0.99462,3.44,0.58,8.16,2.1,11.4,3,4,red
0.058,0.99632,3.38,0.55,9.01,2.5,10.9,4,4,red
0.147,0.99836,3.38,0.86,13.42,1.6,9.9,15,4,red
0.067,0.99576,3.43,0.54,8.48,2,10,20,4,red
0.067,0.99517,3.4,0.58,8.04,2.2,10.9,7,4,red
0.093,0.99736,3.2,0.59,10.12,2.2,9.2,64,4,red
0.071,0.99791,3.07,0.6,14.26,1.4,10.4,20,4,red
0.096,0.99557,3.62,0.62,7.66,2.2,11.5,10,4,red
0.079,0.99572,3.58,0.5,8.32,5.6,11.2,24,4,red
0.075,0.99616,3.3,0.44,10.81,1.8,9.6,14,4,red
0.057,0.99614,3.23,0.49,11.4,2.2,9.3,22,4,red
0.054,0.99572,3.3,0.56,7.3,12.9,11.5,107,4,red
0.081,0.99798,3.38,0.46,9.56,2.5,9.6,12,4,red
0.057,0.99488,3.45,0.56,7.84,4.3,11.8,9,4,red
0.083,0.99437,3.59,0.55,8.34,2,11.2,7,4,red
0.089,0.9978,3.37,0.46,9.76,2.2,9.6,13,4,red
0.05,0.99566,3.28,0.56,10.1,6.3,12,7,4,red
0.084,0.99672,3.34,0.49,9.01,1.9,9.7,6,4,red
0.068,0.99524,3.41,0.52,8.34,3.9,11.1,14,4,red
0.08,0.99652,3.29,0.48,10.2,2,9.8,52,4,red
0.069,0.99396,3.33,0.37,7.82,1.6,10.4,4,4,red
0.123,0.9968,3.5,0.67,7.64,3.9,11,17,4,red
0.06,0.99664,3.59,0.61,7.77,2.1,10,7,4,red
0.067,0.99648,3.52,0.57,8.94,2.3,11,13,4,red
0.08,0.99498,3.66,0.62,6.9,1.5,10.1,7,4,red
0.114,0.99719,3.33,0.57,9.44,2.1,10.3,6,4,red
0.06,0.99592,3.53,0.64,8.74,2,10.9,7,4,red
0.082,0.99585,3.39,0.43,8.26,1.9,9.05,14,4,red
0.063,0.994,3.27,0.52,7.62,4.4,9.8,143,4,white
0.038,0.9956,2.89,0.3,11.44,10.5,10.1,79,4,white
0.065,0.994,3.63,0.4,6.47,1.5,9.7,95,4,white
0.058,0.9951,3.38,0.36,7.87,5.2,9,82,4,white
0.037,0.9902,3.03,0.39,9.3,0.8,11.4,96,4,white
0.044,0.991,3.03,0.41,8.78,5.1,12.6,46,4,white
0.06,0.9931,3.11,0.35,7.48,1.2,8.7,99,4,white
0.047,0.9962,3.09,0.54,7.62,8.5,8.9,156,4,white
0.053,0.9924,3.28,0.5,7.06,2.3,10.2,78,4,white
0.049,0.9968,2.99,0.51,12.84,6.2,9.9,104,4,white
0.062,0.9972,3.37,0.46,8.24,9.7,8.9,116,4,white
0.053,0.9964,3.72,0.7,6.88,4.6,10,159,4,white
0.037,0.9904,3.28,0.34,7.28,0.9,11.4,72,4,white
0.044,0.9919,3.05,0.47,8.12,1.2,10.6,53,4,white
0.047,0.9938,3.08,0.65,8.42,5.1,10.5,155,4,white
0.108,0.9938,3.07,0.57,8.48,1.5,9.2,135,4,white
0.041,0.9976,3.08,0.49,9.24,10.8,8.6,119,4,white
0.041,0.9976,3.08,0.49,9.24,10.8,8.6,119,4,white
0.04,0.9906,3.04,0.53,8.74,5,12.5,26,4,white
0.04,0.9953,3.46,0.55,7.94,9.9,11.4,165,4,white
0.096,0.9983,3.32,0.45,8.96,10.4,9.1,155,4,white
0.054,0.9979,3.25,0.43,7.16,12.9,9,155,4,white
0.061,0.993,3.09,0.57,8.6,1.1,9.5,144,4,white
0.038,0.9922,3.15,0.47,7.7,1.4,10,112,4,white
0.094,0.9972,3.4,0.47,8.34,8.3,9.2,165,4,white
0.29,0.9984,3.08,0.67,8.74,13,9,171,4,white
0.043,0.9935,3.31,0.6,7.98,1.9,10.1,111,4,white
0.042,0.9927,3.22,0.45,7.72,1.2,10.1,64,4,white
0.042,0.99135,3.37,0.38,6.79,1.4,11.2,48,4,white
